Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.62      1.60     0.01    85680     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >, true>::_S_base(__gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >)
  0.31      1.61     0.01  1786845     0.00     0.00  std::vector<std::vector<RenjuAIEval::DirectionPattern*, std::allocator<RenjuAIEval::DirectionPattern*> >*, std::allocator<std::vector<RenjuAIEval::DirectionPattern*, std::allocator<RenjuAIEval::DirectionPattern*> >*> >::size() const
  0.31      1.61     0.01       15     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      1.61     0.00 13531890     0.00     0.00  __gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >::operator*() const
  0.00      1.61     0.00  3076044     0.00     0.00  __gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >::operator--()
  0.00      1.61     0.00  1881800     0.00     0.00  RenjuAINegamax::Move const& std::forward<RenjuAINegamax::Move const&>(std::remove_reference<RenjuAINegamax::Move const&>::type&)
  0.00      1.61     0.00  1823390     0.00     0.00  bool __gnu_cxx::__ops::_Val_less_iter::operator()<RenjuAINegamax::Move, __gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > > >(RenjuAINegamax::Move&, __gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >) const
  0.00      1.61     0.00  1786820     0.00     0.00  int const& std::max<int>(int const&, int const&)
  0.00      1.61     0.00   918194     0.00     0.00  bool __gnu_cxx::operator< <RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >(__gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > > const&, __gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > > const&)
  0.00      1.61     0.00   918194     0.00     0.00  void std::swap<RenjuAINegamax::Move>(RenjuAINegamax::Move&, RenjuAINegamax::Move&)
